Index,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,Alt,Temp
1,-0.424560,0.171776,0.883280,62.900002,-1.600000,24.299999,48,-6,5,51.375000,"33.000000
"
2,-0.420168,0.175192,0.883280,62.500000,-2.400000,26.000000,31,-15,2,51.375000,"33.000000
"
3,-0.419680,0.174704,0.886208,62.599998,-0.900000,22.900000,10,-1,2,52.312500,"33.000000
"
4,-0.423096,0.171776,0.884256,63.200001,-1.900000,23.799999,15,-22,0,52.312500,"33.000000
"
5,-0.424560,0.173728,0.881328,63.599998,-2.400000,22.200001,27,-15,-1,52.312500,"33.937500
"
6,-0.424560,0.167872,0.883280,63.599998,-0.900000,22.900000,20,-21,2,53.187500,"33.000000
"
7,-0.419192,0.168848,0.888160,63.000000,-1.400000,23.299999,24,-19,3,53.187500,"33.000000
"
8,-0.420168,0.175680,0.884256,62.400002,-1.900000,23.200001,27,-8,1,53.187500,"33.000000
"
9,-0.423584,0.169824,0.893528,62.200001,-1.900000,23.900000,13,-10,5,52.875000,"33.000000
"
10,-0.423096,0.171776,0.885232,63.799999,-2.000000,23.600000,17,-16,-1,52.875000,"33.937500
"
11,-0.425048,0.176656,0.887184,62.700001,-2.500000,22.900000,10,-20,2,52.875000,"33.000000
"
12,-0.425536,0.174704,0.884256,63.900002,-1.300000,22.700001,13,-23,1,51.375000,"33.000000
"
13,-0.429440,0.168848,0.880352,63.500000,-1.500000,22.100000,43,0,4,51.375000,"33.000000
"
14,-0.418704,0.170800,0.887184,63.000000,-2.500000,23.299999,16,-22,5,51.375000,"33.000000
"
15,-0.391864,0.178120,0.872056,61.400002,-3.600000,25.700001,17,-33,2,56.437500,"33.000000
"
16,-1.162416,0.117120,0.079544,62.900002,3.500000,25.000000,-542,-96,945,56.437500,"33.000000
"
17,-0.354288,0.155672,0.986248,64.800003,6.500000,25.299999,272,395,-126,56.437500,"33.937500
"
18,-0.350872,0.118584,0.849608,62.799999,9.100000,28.900000,0,-106,5,56.437500,"33.000000
"
19,-0.354288,0.147376,0.909632,61.900002,11.600000,25.100000,36,-29,16,53.187500,"33.000000
"
20,-0.360144,0.144448,0.923296,63.299999,10.200000,28.400000,31,15,0,53.187500,"33.000000
"
21,-0.369416,0.126880,0.911584,62.500000,9.400000,28.900000,32,-6,-22,53.187500,"33.937500
"
22,-0.372344,0.141032,0.913048,62.700001,10.700000,27.200001,26,-23,0,53.875000,"33.000000
"
23,-0.369416,0.145424,0.917440,62.599998,11.500000,29.200001,32,-6,4,53.875000,"33.000000
"
